"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IRL","LTINT","TOT","PC_PA","M","2007-01",4.04,
"IRL","LTINT","TOT","PC_PA","M","2007-02",4.07,
"IRL","LTINT","TOT","PC_PA","M","2007-03",3.97,
"IRL","LTINT","TOT","PC_PA","M","2007-04",4.19,
"IRL","LTINT","TOT","PC_PA","M","2007-05",4.32,
"IRL","LTINT","TOT","PC_PA","M","2007-06",4.62,
"IRL","LTINT","TOT","PC_PA","M","2007-07",4.59,
"IRL","LTINT","TOT","PC_PA","M","2007-08",4.4,
"IRL","LTINT","TOT","PC_PA","M","2007-09",4.32,
"IRL","LTINT","TOT","PC_PA","M","2007-10",4.39,
"IRL","LTINT","TOT","PC_PA","M","2007-11",4.31,
"IRL","LTINT","TOT","PC_PA","M","2007-12",4.45,
"IRL","LTINT","TOT","PC_PA","M","2008-01",4.25,
"IRL","LTINT","TOT","PC_PA","M","2008-02",4.21,
"IRL","LTINT","TOT","PC_PA","M","2008-03",4.17,
"IRL","LTINT","TOT","PC_PA","M","2008-04",4.44,
"IRL","LTINT","TOT","PC_PA","M","2008-05",4.58,
"IRL","LTINT","TOT","PC_PA","M","2008-06",4.91,
"IRL","LTINT","TOT","PC_PA","M","2008-07",4.92,
"IRL","LTINT","TOT","PC_PA","M","2008-08",4.59,
"IRL","LTINT","TOT","PC_PA","M","2008-09",4.56,
"IRL","LTINT","TOT","PC_PA","M","2008-10",4.55,
"IRL","LTINT","TOT","PC_PA","M","2008-11",4.56,
"IRL","LTINT","TOT","PC_PA","M","2008-12",4.57,
"IRL","LTINT","TOT","PC_PA","M","2009-01",5.2,
"IRL","LTINT","TOT","PC_PA","M","2009-02",5.65,
"IRL","LTINT","TOT","PC_PA","M","2009-03",5.76,
"IRL","LTINT","TOT","PC_PA","M","2009-04",5.34,
"IRL","LTINT","TOT","PC_PA","M","2009-05",5.27,
"IRL","LTINT","TOT","PC_PA","M","2009-06",5.73,
"IRL","LTINT","TOT","PC_PA","M","2009-07",5.45,
"IRL","LTINT","TOT","PC_PA","M","2009-08",4.92,
"IRL","LTINT","TOT","PC_PA","M","2009-09",4.91,
"IRL","LTINT","TOT","PC_PA","M","2009-10",4.77,
"IRL","LTINT","TOT","PC_PA","M","2009-11",4.82,
"IRL","LTINT","TOT","PC_PA","M","2009-12",4.88,
"IRL","LTINT","TOT","PC_PA","M","2010-01",4.83,
"IRL","LTINT","TOT","PC_PA","M","2010-02",4.73,
"IRL","LTINT","TOT","PC_PA","M","2010-03",4.53,
"IRL","LTINT","TOT","PC_PA","M","2010-04",4.76,
"IRL","LTINT","TOT","PC_PA","M","2010-05",4.86,
"IRL","LTINT","TOT","PC_PA","M","2010-06",5.31,
"IRL","LTINT","TOT","PC_PA","M","2010-07",5.32,
"IRL","LTINT","TOT","PC_PA","M","2010-08",5.3,
"IRL","LTINT","TOT","PC_PA","M","2010-09",6.14,
"IRL","LTINT","TOT","PC_PA","M","2010-10",6.42,
"IRL","LTINT","TOT","PC_PA","M","2010-11",8.22,
"IRL","LTINT","TOT","PC_PA","M","2010-12",8.45,
"IRL","LTINT","TOT","PC_PA","M","2011-01",8.75,
"IRL","LTINT","TOT","PC_PA","M","2011-02",9.1,
"IRL","LTINT","TOT","PC_PA","M","2011-03",9.67,
"IRL","LTINT","TOT","PC_PA","M","2011-04",9.79,
"IRL","LTINT","TOT","PC_PA","M","2011-05",10.64,
"IRL","LTINT","TOT","PC_PA","M","2011-06",11.43,
"IRL","LTINT","TOT","PC_PA","M","2011-07",12.45,
"IRL","LTINT","TOT","PC_PA","M","2011-08",9.57,
"IRL","LTINT","TOT","PC_PA","M","2011-09",8.51,
"IRL","LTINT","TOT","PC_PA","M","2011-10",8.1,
"IRL","LTINT","TOT","PC_PA","M","2011-11",8.51,
"IRL","LTINT","TOT","PC_PA","M","2011-12",8.7,
"IRL","LTINT","TOT","PC_PA","M","2012-01",7.71,
"IRL","LTINT","TOT","PC_PA","M","2012-02",7.02,
"IRL","LTINT","TOT","PC_PA","M","2012-03",6.9,
"IRL","LTINT","TOT","PC_PA","M","2012-04",6.88,
"IRL","LTINT","TOT","PC_PA","M","2012-05",7.12,
"IRL","LTINT","TOT","PC_PA","M","2012-06",7.09,
"IRL","LTINT","TOT","PC_PA","M","2012-07",6.12,
"IRL","LTINT","TOT","PC_PA","M","2012-08",5.91,
"IRL","LTINT","TOT","PC_PA","M","2012-09",5.28,
"IRL","LTINT","TOT","PC_PA","M","2012-10",4.77,
"IRL","LTINT","TOT","PC_PA","M","2012-11",4.59,
"IRL","LTINT","TOT","PC_PA","M","2012-12",4.67,
"IRL","LTINT","TOT","PC_PA","M","2013-01",4.18,
"IRL","LTINT","TOT","PC_PA","M","2013-02",3.78,
"IRL","LTINT","TOT","PC_PA","M","2013-03",3.83,
"IRL","LTINT","TOT","PC_PA","M","2013-04",3.78,
"IRL","LTINT","TOT","PC_PA","M","2013-05",3.48,
"IRL","LTINT","TOT","PC_PA","M","2013-06",4.02,
"IRL","LTINT","TOT","PC_PA","M","2013-07",3.88,
"IRL","LTINT","TOT","PC_PA","M","2013-08",3.92,
"IRL","LTINT","TOT","PC_PA","M","2013-09",3.95,
"IRL","LTINT","TOT","PC_PA","M","2013-10",3.65,
"IRL","LTINT","TOT","PC_PA","M","2013-11",3.53,
"IRL","LTINT","TOT","PC_PA","M","2013-12",3.48,
"IRL","LTINT","TOT","PC_PA","M","2014-01",3.39,
